"Coluna A","Coluna B","Coluna C"
442,225,859
765,730,427
654,290,515
213,897,473
214,538,962
906,937,349
524,108,183
929,793,875
117,312,802
940,864,308
342,804,225
337,829,742
176,634,673
303,578,686
184,341,866
835,366,242
717,110,919
263,180,658
344,573,554
790,527,235
637,534,291
680,502,131
178,527,695
747,881,275
931,636,431
207,315,430
336,479,150
602,487,290
742,770,679
644,457,488
152,402,906
448,165,341
409,274,121
154,961,918
140,139,690
562,850,110
279,446,747
715,885,506
420,468,482
397,336,845
236,272,445
932,309,476
249,311,446
417,878,808
932,449,848
720,714,206
657,767,816
830,921,657
684,384,452
980,509,799
795,750,527
181,282,354
358,771,188
601,823,563
410,659,445
482,664,880
712,229,571
969,258,784
159,565,682
600,477,896
486,692,478
833,349,754
145,622,241
188,617,179
644,219,122
785,372,693
110,394,557
672,865,564
215,385,979
610,572,403
861,384,512
698,295,342
338,409,503
262,354,663
200,743,341
232,993,941
411,410,655
519,669,596
877,892,620
982,858,463
825,743,724
276,504,787
888,392,644
254,354,946
530,555,249
321,153,529
183,360,957
846,526,330
363,192,264
144,662,106
343,686,566
983,167,856
936,860,536
489,194,503
264,370,448
203,308,487
214,417,940
998,324,734
395,832,577
716,309,523
