"tipo","marca","ano"
"automovel","audi",2005
"aviao","airbus",2012
"automovel","ferrari",2009
"barco","bertram",2015
"barco","boston whaler",2021
"automovel","bmw",2018
"barco","bertram",2012
"barco","bertram",2021
"automovel","porsche",2022
"barco","bertram",2012
"aviao","airbus",2018
"barco","boston whaler",2005
"aviao","boeing",2015
"automovel","audi",2009
"barco","chaparral",2020
"barco","boston whaler",2020
"aviao","boeing",2015
"barco","bertram",2013
"automovel","porsche",2009
"barco","bertram",2012
"aviao","airbus",2015
"automovel","porsche",2014
"barco","boston whaler",2005
"aviao","airbus",2015
"barco","chaparral",2020
"automovel","audi",2021
"barco","boston whaler",2015
"automovel","ferrari",2016
"aviao","airbus",2012
"automovel","bmw",2020
"barco","bertram",2009
"aviao","airbus",2018
"barco","boston whaler",2005
"automovel","ferrari",2022
"barco","chaparral",2018
"aviao","boeing",2020
"barco","boston whaler",2005
"automovel","bmw",2008
"barco","bertram",2009
"aviao","airbus",2012
